162 0 0 0 0 6 15 1 13 0 0 12 1 2 0
0 20 0 0 0 2 3 6 5 2 0 1 4 0 0
0 3 62 1 0 5 15 2 10 0 4 0 3 0 6
0 0 2 22 1 1 6 2 3 1 2 0 0 0 3
0 0 0 0 35 4 5 0 4 0 4 0 2 0 0
0 2 7 2 0 418 105 34 40 0 21 5 48 2 38
0 4 10 13 17 127 477 51 66 2 47 10 121 20 25
0 2 5 0 0 22 54 281 15 3 5 4 53 6 8
0 6 7 1 0 18 91 32 414 4 10 58 30 5 15
0 0 1 0 0 0 3 6 0 22 1 1 1 0 1
0 0 4 1 1 35 42 4 12 1 100 1 3 0 6
50 1 0 0 0 2 9 4 25 0 2 55 1 3 0
0 5 13 3 0 64 143 21 25 1 12 1 311 3 10
0 0 0 0 0 9 0 6 2 0 1 0 19 61 4
0 0 0 0 0 9 22 8 58 0 1 3 15 0 60
